x,y,u,v
0.0,0.0,-6.935968995094299,21.631307899951935
1.0,0.0,-6.607957184314728,21.68780192732811
2.0,0.0,-6.154589354991913,21.126996725797653
3.0,0.0,-5.675554275512695,19.777268171310425
4.0,0.0,-5.194209516048431,18.17958429455757
5.0,0.0,-4.722811281681061,16.25852659344673
6.0,0.0,-4.275701940059662,13.986527919769287
7.0,0.0,-3.866814076900482,11.488199234008789
8.0,0.0,-3.507472574710846,8.992459625005722
9.0,0.0,-3.205239772796631,6.785169243812561
10.0,0.0,-2.9622018337249756,5.160365253686905
11.0,0.0,-2.7759000658988953,4.37319278717041
12.0,0.0,-2.6383623480796814,4.592295736074448
13.0,0.0,-2.5380775332450867,5.851108580827713
14.0,0.0,-2.4611130356788635,8.001402020454407
15.0,0.0,-2.392679452896118,10.66429540514946
16.0,0.0,-2.3211538791656494,13.182312250137329
17.0,0.0,-2.2401660680770874,14.611706137657166
18.0,0.0,-2.151802182197571,14.649853110313416
19.0,0.0,-2.046823501586914,14.153532683849335
20.0,0.0,-1.8991529941558838,13.717450201511383
21.0,0.0,-1.6876310110092163,13.270080089569092
22.0,0.0,-1.3978779315948486,12.72939145565033
23.0,0.0,-1.0232627391815186,12.036189436912537
24.0,0.0,-0.5652010440826416,11.152364313602448
25.0,0.0,-0.03345310688018799,10.058879852294922
26.0,0.0,0.5561113357543945,8.75420868396759
27.0,0.0,1.180022954940796,7.25284218788147
28.0,0.0,1.8121302127838135,5.583502352237701
29.0,0.0,2.423301339149475,3.7869438529014587
30.0,0.0,2.9855966567993164,1.9151344895362854
31.0,0.0,3.474503755569458,0.028796494007110596
32.0,0.0,3.8736313581466675,-1.8036365509033203
33.0,0.0,4.178658127784729,-3.4770742058753967
34.0,0.0,4.435703158378601,-4.736259579658508
35.0,0.0,4.865825176239014,-5.397871136665344
36.0,0.0,5.658343434333801,-5.537532269954681
37.0,0.0,6.897449493408203,-5.2902474999427795
38.0,0.0,8.581578731536865,-4.769489169120789
39.0,0.0,10.639876127243042,-4.069246351718903
40.0,0.0,12.951493263244629,-3.2687559723854065
41.0,0.0,15.361830592155457,-2.4313852190971375
42.0,0.0,17.701834440231323,-1.6093999147415161
43.0,0.0,19.803568720817566,-0.8464604616165161
44.0,0.0,21.519586443901062,-0.17773360013961792
45.0,0.0,22.7385014295578,0.36388635635375977
46.0,0.0,23.404434323310852,0.7505714893341064
47.0,0.0,23.532137274742126,0.9530410170555115
48.0,0.0,23.22547137737274,0.937245786190033
49.0,0.0,22.69156277179718,0.6458163261413574
50.0,0.0,22.031590342521667,0.03982335329055786
51.0,0.0,21.037310361862183,-0.7764250040054321
52.0,0.0,19.57438886165619,-1.609809696674347
53.0,0.0,17.61399209499359,-2.299770712852478
54.0,0.0,15.209093689918518,-2.7266517281532288
55.0,0.0,12.475624680519104,-2.8100237250328064
56.0,0.0,9.571611881256104,-2.5080889463424683
57.0,0.0,6.678029894828796,-1.8150731921195984
58.0,0.0,3.9805471897125244,-0.7599592208862305
59.0,0.0,1.6508996486663818,0.5939602851867676
60.0,0.0,-0.16964972019195557,2.1516531705856323
61.0,0.0,-1.3869255781173706,3.787502646446228
62.0,0.0,-1.970231533050537,5.346760153770447
63.0,0.0,-1.9669532775878906,6.6471099853515625
64.0,0.0,-1.5175342559814453,7.543675601482391
65.0,0.0,-0.8508563041687012,8.619166910648346
66.0,0.0,-0.050067901611328125,10.560713708400726
67.0,0.0,0.9263306856155396,12.913085520267487
68.0,0.0,2.0918995141983032,14.808028936386108
69.0,0.0,3.4353137016296387,15.684477984905243
70.0,0.0,4.923194646835327,15.258006751537323
71.0,0.0,6.507262587547302,13.474822044372559
72.0,0.0,8.12925398349762,10.464079678058624
73.0,0.0,9.725838899612427,6.492398679256439
74.0,0.0,11.234879493713379,1.9182264804840088
75.0,0.0,12.601092457771301,-2.855174243450165
76.0,0.0,13.781413435935974,-7.426366209983826
77.0,0.0,14.75110650062561,-11.441856622695923
78.0,0.0,15.51017165184021,-14.641545712947845
79.0,0.0,16.08811318874359,-16.90637320280075
80.0,0.0,16.551315784454346,-18.11038702726364
81.0,0.0,16.97719097137451,-17.648302018642426
82.0,0.0,17.355605959892273,-15.263035893440247
83.0,0.0,17.666220664978027,-11.591017246246338
84.0,0.0,17.90262758731842,-7.363520562648773
85.0,0.0,18.068701028823853,-3.1858310103416443
86.0,0.0,18.1734561920166,0.4635751247406006
87.0,0.0,18.229708075523376,3.2314658164978027
88.0,0.0,18.250420689582825,4.890710115432739
89.0,0.0,18.24699342250824,5.344301462173462
90.0,0.0,18.228664994239807,4.623979330062866
91.0,0.0,18.200427293777466,2.887845039367676
92.0,0.0,18.163397908210754,0.4248321056365967
93.0,0.0,18.11698079109192,-2.345554530620575
94.0,0.0,18.057003617286682,-4.873722791671753
95.0,0.0,17.979219555854797,-6.490424275398254
96.0,0.0,17.880871891975403,-6.964989006519318
97.0,0.0,17.727762460708618,-6.866715848445892
98.0,0.0,17.448589205741882,-6.522126495838165
99.0,0.0,16.987919807434082,-6.260424852371216
0.0,1.0,-7.246807217597961,21.303296089172363
1.0,1.0,-6.948448717594147,21.297112107276917
2.0,1.0,-6.523635238409042,20.660795271396637
3.0,1.0,-6.072651594877243,19.297078251838684
4.0,1.0,-5.618073046207428,17.703212797641754
5.0,1.0,-5.169101059436798,15.799272805452347
6.0,1.0,-4.735682159662247,13.558529317378998
7.0,1.0,-4.327688366174698,11.104084551334381
8.0,1.0,-3.9531104266643524,8.661672472953796
9.0,1.0,-3.6176294088363647,6.512533873319626
10.0,1.0,-3.3235549926757812,4.945695400238037
11.0,1.0,-3.070291131734848,4.211273044347763
12.0,1.0,-2.853740006685257,4.473384469747543
13.0,1.0,-2.667456865310669,5.762483924627304
14.0,1.0,-2.502948045730591,7.9287029802799225
15.0,1.0,-2.351105213165283,10.594315826892853
16.0,1.0,-2.2036582231521606,13.106055557727814
17.0,1.0,-2.0547211170196533,14.527030289173126
18.0,1.0,-1.9026175141334534,14.553181827068329
19.0,1.0,-1.7351657152175903,14.027208089828491
20.0,1.0,-1.529604196548462,13.537853956222534
21.0,1.0,-1.2693926692008972,13.019442558288574
22.0,1.0,-0.9446218609809875,12.39720731973648
23.0,1.0,-0.5525350570678711,11.619850993156433
24.0,1.0,-0.09682029485702515,10.657459497451782
25.0,1.0,0.4127621650695801,9.498223662376404
26.0,1.0,0.9619817137718201,8.147470653057098
27.0,1.0,1.5315040946006775,6.62483274936676
28.0,1.0,2.100132405757904,4.961863160133362
29.0,1.0,2.6452168822288513,3.2002106308937073
30.0,1.0,3.144778311252594,1.389533281326294
31.0,1.0,3.5794079303741455,-0.41522085666656494
32.0,1.0,3.93502414226532,-2.155713737010956
